acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.099,2.314,0.151,2.289,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,1
0.134,2.271,0.168,2.191,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,2
0.166,2.192,0.244,2.139,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,3
0.203,2.126,0.236,2.039,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,4
0.224,2.071,0.269,1.92,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,5
0.247,1.98,0.296,1.959,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,6
0.248,1.962,0.305,1.897,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,7
0.283,1.936,0.193,2.228,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,8
0.289,1.898,0.37,1.744,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,9
0.319,1.872,0.358,1.806,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,10
0.305,1.849,0.371,1.685,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,11
0.324,1.807,0.296,1.923,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,12
0.338,1.778,0.32,1.936,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,13
0.344,1.778,0.394,1.64,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,14
0.36,1.739,0.422,1.587,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,15
0.359,1.724,0.351,1.789,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,16
0.369,1.708,0.406,1.598,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,17
0.376,1.686,0.424,1.606,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,18
0.385,1.678,0.436,1.564,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,19
0.401,1.624,0.357,1.798,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,20
0.403,1.624,0.446,1.576,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,21
0.414,1.6,0.421,1.59,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,22
0.418,1.601,0.427,1.548,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,23
0.442,1.557,0.463,1.488,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,24
0.448,1.532,0.451,1.521,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,25
0.444,1.537,0.426,1.564,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,26
0.452,1.512,0.441,1.561,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,27
0.461,1.5,0.455,1.537,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,28
0.464,1.479,0.44,1.594,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,29
0.474,1.466,0.46,1.471,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,30
0.492,1.45,0.414,1.641,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,31
0.484,1.412,0.479,1.458,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,32
0.503,1.414,0.468,1.519,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,33
0.506,1.371,0.47,1.491,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,34
0.507,1.375,0.435,1.618,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,35
0.508,1.359,0.441,1.65,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,36
0.503,1.354,0.481,1.457,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,37
0.524,1.332,0.463,1.588,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,38
0.534,1.317,0.458,1.566,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,39
0.53,1.314,0.482,1.518,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,40
0.54,1.284,0.414,1.827,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,41
0.555,1.264,0.465,1.586,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492,42
